,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_17,eq_complex_18,eq_complex_19
13,0.11331658,-0.9133003163210606,-0.9125712380299458,-0.9132702557701511,-0.900739834318596,-0.9164125407580626,-0.8992151147167522,-0.9093824060121523,-0.8996409312178416,-0.912224930828422,-0.9122257192435026,-0.9068516343494273,-0.906853069037181,-0.9066127000083286,-0.905649745253859,-0.90517485555469,-0.9052934158407764
14,0.11783919,-0.9102123802199495,-0.9094917305739403,-0.9101819680838882,-0.8979372452542489,-0.9133786201920604,-0.8963834619669209,-0.906348834789903,-0.8963889220038875,-0.9091734523456394,-0.9091742140319456,-0.9036356084126638,-0.9036371302970814,-0.9033906959453312,-0.9024036481071578,-0.9020122931918357,-0.9021276455729105
15,0.12236181,-0.9071244372910641,-0.9064122163087969,-0.9070936652475091,-0.8951314490160426,-0.910345597187088,-0.8935643926365681,-0.9033162762698284,-0.893153829294298,-0.9061241548914235,-0.9061248882449363,-0.9004298135533209,-0.9004314187223769,-0.900179201489112,-0.8991691830980855,-0.8988594574199313,-0.8989716062420172
16,0.12688442,-0.9040365011899529,-0.9033327088527912,-0.9040053606191769,-0.892322455315482,-0.9073134984860173,-0.8907576744138395,-0.9002847630981152,-0.8899358475462762,-0.9030770967720618,-0.9030778001560266,-0.8972342752577085,-0.8972359590728298,-0.8969782421111769,-0.8959463756384854,-0.8957163430840527,-0.8958252947701448
17,0.13140704,-0.9009485582610675,-0.9002531945876477,-0.9009170402282383,-0.8895102490322151,-0.9042823241054232,-0.8879630388690452,-0.8972543014391889,-0.8867351217408673,-0.9000323090192264,-0.900032980764126,-0.8940489856031215,-0.8940507427452644,-0.8937878096778249,-0.8927352167442977,-0.8925829128772095,-0.8926886758949737
18,0.13592964,-0.8978606289877309,-0.89717369394078,-0.8978287242316927,-0.8866948461308071,-0.9012521076632916,-0.885180237478371,-0.894224931299785,-0.8835518111283045,-0.8969898559639125,-0.8969904943680831,-0.8908739667881534,-0.8908757913085057,-0.8906079260874274,-0.8895357271039381,-0.889459159843313,-0.889561744735884
19,0.14045227,-0.894772679231071,-0.8940941728664988,-0.8947403781411603,-0.8838762127723008,-0.8982228292593362,-0.8824089617291258,-0.8911966394411562,-0.8803859973464634,-0.8939497477041733,-0.8939503510335194,-0.8877091797408192,-0.8877110651189986,-0.8874385517360167,-0.8863478649694391,-0.8863450174770378,-0.8864444368019239
20,0.14497487,-0.8916847499577343,-0.8910146722196309,-0.8916520425659784,-0.881054383646052,-0.8951945427553254,-0.8796489600931073,-0.8881694866308523,-0.8772378177210093,-0.890912067830408,-0.890912634319584,-0.8845546573337537,-0.8845565965381093,-0.8842797189330123,-0.8831716603803446,-0.8832404908061637,-0.8833367592070006
21,0.14949748,-0.8885968138566234,-0.8879351647636253,-0.8885636898104802,-0.8782293311094087,-0.8921672351036105,-0.8768999095439778,-0.8851434670260455,-0.8741073180539577,-0.8878768321971033,-0.8878773600491172,-0.8814103573765646,-0.8814123429314674,-0.8811313846798436,-0.8800070670809605,-0.8801455117479952,-0.8802386458788247
22,0.1540201,-0.8855088709277378,-0.8848556504984819,-0.8854753194738862,-0.875401052432611,-0.8891409201141551,-0.8741615016370805,-0.8821186019204512,-0.8709945505720575,-0.8848440829812972,-0.8848445703682352,-0.8782762606072347,-0.8782782846618966,-0.877993528804834,-0.8768540612334927,-0.8770600355395871,-0.8771500540867484
23,0.15854271,-0.8824209348266268,-0.8817761430424763,-0.8823869447919741,-0.8725695574124823,-0.8861156250258626,-0.8714334302709402,-0.8790949263265682,-0.8678995594325699,-0.8818138751220467,-0.8818143201857277,-0.8751523564510599,-0.8751544108515321,-0.8748661396960782,-0.8737126270459025,-0.8739840267444754,-0.874070950433645
24,0.16306531,-0.8793330055532901,-0.8786966423956084,-0.8792985653208183,-0.8697348433579584,-0.8830913637311493,-0.8687153677626908,-0.8760724622236401,-0.864822353154888,-0.8787862494386818,-0.8787866502909985,-0.872038615306059,-0.872040691669596,-0.8717491865546214,-0.8705827288951844,-0.8709174319747638,-0.8710012835499755
25,0.16758794,-0.8762450557966301,-0.8756171213213273,-0.87621015327742,-0.8668968824616128,-0.880068123421591,-0.8660069534148632,-0.8730512052273767,-0.8617628915127094,-0.8757612192562629,-0.8757615739793158,-0.8689349750709199,-0.8689370648615138,-0.8686426059171081,-0.8674642978286649,-0.8678601666113753,-0.8679409708006702
26,0.17211054,-0.8731571265232936,-0.8725376206744594,-0.8731217491412587,-0.8640557096570938,-0.8770459581609205,-0.8633078776375405,-0.8700312181126186,-0.8587211802178016,-0.8727388639802685,-0.8727391706279765,-0.865841437203842,-0.8658435318079707,-0.8655463978061506,-0.8643573280832448,-0.8648122094331342,-0.864889993008074
27,0.17663316,-0.8700691835944081,-0.8694581064093161,-0.8700333182477356,-0.861211290825753,-0.8740248485010369,-0.8606177565514888,-0.8670124905343409,-0.8556971289998708,-0.8697191885873257,-0.8697194451849306,-0.8627579226744002,-0.8627600134772742,-0.8624604815483214,-0.8612617323638574,-0.8617734607207914,-0.8618482524141986
28,0.18115577,-0.866981247493297,-0.8663785989533104,-0.8669448805337296,-0.8583636421042665,-0.8710048284521017,-0.8579362458602688,-0.8639950659215035,-0.8526906797564426,-0.8667022505776806,-0.8667024551232851,-0.8596844021041128,-0.8596864805648201,-0.8593848260326349,-0.858177472577168,-0.8587438704722354,-0.8588157010228146
