,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_8,eq_complex_9,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24
287,0.5695567021643286,0.1666591446581434,0.13854745664583012,-0.4474733053778561,-0.6682099089548218,-0.6642956023454872,-0.6638717453378884,-0.6959774535234834,-0.75089064663729,-0.7642598449932319,-0.7537085813697325,-0.7485987358036356,-0.751685106242045,-0.7502224900025871,-0.7787598468955349,-0.8158458910620255,-0.802168318625942,-0.7728262978234236,-0.7892550802967611
288,0.571351246022044,0.1666591446581434,0.1377723839933536,-0.4547152216104863,-0.6781395031056887,-0.6745739059265712,-0.6741937402595203,-0.7069487382659757,-0.7625603534429992,-0.7761391633958427,-0.7664975606895499,-0.7614034697930592,-0.7644803531966358,-0.7630222437831596,-0.8031944443348666,-0.8359434706676088,-0.822229380829727,-0.7922957394456334,-0.8090649924383851
289,0.5731457898797595,0.1666591446581434,0.13699731134087703,-0.4612547203242322,-0.6871195976779274,-0.6839067175416419,-0.683570469860279,-0.7168251079969389,-0.7730654439378922,-0.7868332347654834,-0.7780327803179915,-0.772953422119764,-0.7760214330108022,-0.7745675381580165,-0.8259443383265638,-0.8543347445185303,-0.840588177315599,-0.8101114745459832,-0.8271922789792469
290,0.5749403337374749,0.1666591446581434,0.1362222386884005,-0.4670844088268483,-0.6951400993439733,-0.6922835474209117,-0.6919913927704398,-0.7256094833709804,-0.7824090247028069,-0.796345134195612,-0.7883109347508418,-0.7832451249250244,-0.7863049758582134,-0.7848549568321598,-0.8468184583654665,-0.8709352759456457,-0.8571601718143278,-0.8261919369879293,-0.8435539474006077
291,0.5767348775951904,0.1666591446581434,0.13544716603592394,-0.472197696843626,-0.7021919933267673,-0.6996949802862645,-0.6994470421432891,-0.7333051117223912,-0.7905945497943987,-0.8046782987483413,-0.7973296657047667,-0.7922760737011699,-0.7953285655252076,-0.7938820417398743,-0.8656296203103917,-0.8856682948088046,-0.8718684843544271,-0.8404629573044518,-0.8580745312020013
292,0.5785294214529058,0.1666591446581434,0.1346720933834474,-0.4765888039674837,-0.7082673535320636,-0.70613268593371,-0.7059290362978015,-0.7399153512177011,-0.7976255911570406,-0.8118362941969921,-0.8050873678699785,-0.80004453362612,-0.8030905453935564,-0.8016470991940736,-0.88219911384783,-0.8984653829961577,-0.8846445820649991,-0.8528584272254804,-0.8706867660495383
293,0.5803239653106212,0.1666591446581434,0.13389702073097084,-0.4802527661935341,-0.7133593514570973,-0.711589428596261,-0.7114300881413729,-0.7454434763400756,-0.8035056317245346,-0.8178226048075129,-0.811583012984446,-0.8065493641379984,-0.8095898427125396,-0.8081490243016352,-0.896361445693314,-0.9092670069824011,-0.8954288175766834,-0.8633208166887734,-0.8813321158279752
294,0.5821185091683366,0.1666591446581434,0.1331219480784943,-0.48318544153072773,-0.7174622638655925,-0.7160590750766898,-0.7159440133620065,-0.7498925067381694,-0.8082378833736382,-0.8226404483604036,-0.8168159943811197,-0.8117898639048049,-0.8148258133131965,-0.8133871457985953,-0.9079690332336336,-0.9180229105699589,-0.9041708277749185,-0.8718015558453738,-0.8899611613264675
295,0.5839130530260521,0.1666591446581434,0.13234687542601775,-0.48538351468424334,-0.7205714792204916,-0.7195366016410425,-0.7194657373807525,-0.7532650611878953,-0.8118251315891694,-0.826292618307173,-0.8207859938736107,-0.8157656380578847,-0.8187981086315012,-0.817361093172896,-0.916896624607545,-0.9246923878318358,-0.9108298125408305,-0.8782613012315044,-0.896533871065124
296,0.5857075968837675,0.1666591446581434,0.13157180277354122,-0.48684450080331954,-0.7226835028671678,-0.7220180996651447,-0.7219913010565742,-0.7555632381299574,-0.8142696083966698,-0.8287813546461045,-0.8234928725519272,-0.8184764892637824,-0.8215065666132545,-0.8200706876483274,-0.9230452175789756,-0.9292444602322925,-0.9153747170845621,-0.882670109111503,-0.9010197776692686
