,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_19,eq_complex_21
27,0.17663316,-0.4429750266985142,-0.4429565241816389,-0.44297211199354714,-0.44399353418440024,-0.44514833193915515,-0.4450154716557837,-0.4444812677692138,-0.44415919834462825,-0.4441618329237539
28,0.18115577,-0.4350490896275474,-0.43503084231762823,-0.43504613415750404,-0.4360396820430378,-0.4371628551309962,-0.4369646300378448,-0.4364140988085674,-0.435969456500807,-0.4359720910799325
29,0.1856784,-0.4271231175063017,-0.427105125404467,-0.4271201201145386,-0.4280861829439677,-0.42917816995497426,-0.4289144745787037,-0.4283504887594739,-0.42778512343625064,-0.4277877580153763
30,0.190201,-0.4191971979604744,-0.41917946106503134,-0.4191941574408967,-0.4201331248017053,-0.4211943646831473,-0.42086513228577016,-0.4202904328693119,-0.41960787064985083,-0.41961050522897647
31,0.1947236,-0.41127127841464695,-0.4112537967255957,-0.4112681935080523,-0.4121804548427309,-0.41321138634789223,-0.4128165875358445,-0.4122337873602753,-0.4114390568785763,-0.41144169145770193
32,0.19924621,-0.40334534134368016,-0.40332811486158493,-0.4033422107347989,-0.4042281554698257,-0.40522921730064876,-0.40476886006972723,-0.404180447602387,-0.40327988655704494,-0.4032825211361706
33,0.20376883,-0.39541938674757393,-0.3954024154729989,-0.39541620906179653,-0.39627622667134654,-0.39724785754690217,-0.396721987172001,-0.3961303300904542,-0.39513137660861586,-0.3951340111877415
34,0.20829144,-0.38749344967660704,-0.38747673360898816,-0.3874902234765778,-0.38832470359821847,-0.3892673423819448,-0.3886760414396382,-0.3880833900546159,-0.3869943669022149,-0.38699700148134053
35,0.21281406,-0.3795674950805008,-0.37955103422040226,-0.3795642188617906,-0.38037355107279824,-0.38128763651414166,-0.3806310240253784,-0.38003951456302876,-0.37886941213891634,-0.378872046718042
36,0.21733667,-0.3716415580095339,-0.3716253523563914,-0.3716382301968647,-0.3724228042425788,-0.37330877523147055,-0.3725870069500421,-0.371998664736354,-0.3707569322442301,-0.37075956682335576
37,0.22185928,-0.36371562093856724,-0.3636996704923807,-0.3637122398809336,-0.36447244551206004,-0.3653307408890286,-0.36454400856737346,-0.36396075110835957,-0.362657098652722,-0.3626597332318475
38,0.2263819,-0.3557896663424609,-0.3557739711037947,-0.3557862303081969,-0.356522457289175,-0.3573535158492258,-0.3565020469283121,-0.35592568689787507,-0.354569904955119,-0.3545725395342446
39,0.2309045,-0.34786374679663346,-0.34784830676435896,-0.34786025396858233,-0.3485728922932625,-0.3493771530248312,-0.3484612108828231,-0.34789345892691637,-0.34649525819768157,-0.3464978927768071
40,0.23542711,-0.3399378097256668,-0.3399226249003483,-0.33993425819466727,-0.3406236977765539,-0.3414015995030759,-0.3404214822645145,-0.3398639498845448,-0.3384328222477645,-0.33843545682689
41,0.23994973,-0.33201185512956055,-0.3319969255117624,-0.33200824288853936,-0.3326748737274089,-0.33342685528944527,-0.3323828959115114,-0.3318370981160981,-0.3303822016883253,-0.33038483626745097
42,0.24447234,-0.32408591805859366,-0.32407124364775153,-0.32408224299603616,-0.324726455283026,-0.3254529556499762,-0.3243455218477068,-0.32381287970060846,-0.32234294660399465,-0.3223455811831203
43,0.24899496,-0.31615996346248754,-0.31614554425916563,-0.3161562233544776,-0.31677840727949536,-0.3174798653222888,-0.31630935864002496,-0.31579120190230825,-0.31431446793719287,-0.3143171025163185
44,0.25351757,-0.30823402639152064,-0.30821986239515475,-0.3082302188942263,-0.3088307648505847,-0.309507619565106,-0.3082744755599408,-0.3077720450266782,-0.3062962001363594,-0.3062988347154849
45,0.2580402,-0.30030805427027507,-0.30029414548199374,-0.30030417691038225,-0.30088347526397097,-0.3015361654985713,-0.3002408526612139,-0.29975530272237616,-0.29828745978667237,-0.2982900943657979
46,0.26256278,-0.2923821697747264,-0.29236851619170834,-0.2923782199413554,-0.29293666150750364,-0.2935656264943892,-0.29220864722360496,-0.29174104780751065,-0.2902877272482751,-0.29029036182740076
47,0.26708543,-0.28445616260320195,-0.28444276422939707,-0.28445213753429255,-0.2849901127125444,-0.28559579107153066,-0.28417767867765875,-0.2837290182663402,-0.2822961469504205,-0.28229878152954613
48,0.27160805,-0.2765302080070958,-0.2765170648408112,-0.2765261047813835,-0.27704400457561773,-0.27762683546144384,-0.2761481567413443,-0.2757193436838592,-0.2743122633209576,-0.2743148979000831
49,0.27613065,-0.2686042884612684,-0.26859140050137553,-0.26860010398379575,-0.2690983195063782,-0.269658742030196,-0.2681200953383823,-0.26771196043241063,-0.266335445565567,-0.2663380801446925
50,0.28065327,-0.26067833386516215,-0.2606657011127895,-0.260674064852658,-0.2611529872152427,-0.261691440304224,-0.26009345472966927,-0.2597067534692633,-0.25836503559410584,-0.25836767017323137
51,0.2851759,-0.2527523617439166,-0.2527399841996285,-0.252748004710196,-0.25320802525984687,-0.2537249479083181,-0.25206828349674015,-0.2517036978932059,-0.2504004931228203,-0.25040312770194584
52,0.28969848,-0.2448264772483679,-0.24481435490934308,-0.24482202848829535,-0.2452635390236023,-0.245759370519911,-0.2440447184503063,-0.2437028587679068,-0.24244139770956422,-0.2424440322886898
53,0.2942211,-0.2369005226522616,-0.23688865552075708,-0.23689597821978278,-0.23731937039458204,-0.23779454962011096,-0.23602262981454006,-0.2357040372751674,-0.23448709778795143,-0.23448973236707696
54,0.29874372,-0.22897456805615543,-0.22896295613217124,-0.22896992374588324,-0.22937558962537405,-0.22983055566419683,-0.22800211798656653,-0.22770726603113203,-0.2265372032820975,-0.22653983786122303
55,0.30326632,-0.22104864851032804,-0.22103729179273554,-0.22104389983383763,-0.22143223182830754,-0.22186742386518024,-0.21998324736735045,-0.21971254361727818,-0.21859132045503463,-0.21859395503416015
