,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_7,eq_complex_9,eq_complex_11,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_21,eq_complex_24,eq_complex_26,eq_complex_27,eq_complex_31,eq_complex_34,eq_complex_36
10,0.099748746,-0.8571797871386937,-0.6700981154298725,-0.670097867745032,-0.6175330540050477,-0.6096774831936336,-0.6096777067288028,-0.6041659535657843,-0.6083337611973163,-0.6011987603375242,-0.6001586632144809,-0.601056576264023,-0.5955851236690156,-0.59806160965133,-0.6002334940433383,-0.5988325342829109,-0.598175975503328,-0.5985474916519228,-0.5983321242246833,-0.5982232688373548,-0.598333331860132
11,0.10427135,-0.8571797871386937,-0.6721884028081442,-0.6721881551233035,-0.6210097221559345,-0.614035101150619,-0.6140353222233375,-0.6094394988655396,-0.6131754045808538,-0.6062205485663549,-0.6052674562905971,-0.6066386026863118,-0.601282388585354,-0.6036945153033495,-0.605709082617217,-0.6044170332317567,-0.6037606315915921,-0.6041318899549664,-0.603929666746394,-0.6038158825882411,-0.6038297089086262
12,0.10879397,-0.8571797871386937,-0.674278697581403,-0.6742784498965624,-0.6244630344871562,-0.6183672589629591,-0.6183674775885655,-0.6146674541220737,-0.6179807839565321,-0.6112037682834353,-0.6103399929585741,-0.6121554582156457,-0.6069129534930496,-0.6092617817730668,-0.6111231792216173,-0.6099368722236311,-0.6092808286424801,-0.6096515000364469,-0.6094626985360696,-0.609344020418034,-0.6092694981172451
13,0.11331658,-0.8571797871386937,-0.6763689877327947,-0.6763687400479542,-0.6278932059093156,-0.6226739316749017,-0.6226741478687492,-0.6198495033061866,-0.6227497195868456,-0.6161482290643634,-0.615375838659703,-0.6176071624349976,-0.6124768402205422,-0.6147634263350357,-0.6164758867457872,-0.6153920696550792,-0.6147365849412799,-0.6151063413503598,-0.6149312338765172,-0.6148076981357398,-0.6146522414924358
14,0.11783919,-0.8571797871386937,-0.6784592778841866,-0.678459030199346,-0.6313004757578431,-0.6269551288934789,-0.6269553426709149,-0.6249853861868462,-0.6274820775655126,-0.6210537882131967,-0.6203746106003576,-0.6229938132255933,-0.6179741504949596,-0.6201995452848693,-0.6217673767839219,-0.6207827220982808,-0.6201279968896767,-0.6204965121147732,-0.6203353652863126,-0.6202070097359476,-0.6199775853945091
15,0.12236181,-0.8571797871386937,-0.6805495726574453,-0.6805493249726047,-0.6346850800823463,-0.6312108600004063,-0.6312110713767731,-0.6300748562440999,-0.6321777311717761,-0.6259203106760538,-0.6253359371386967,-0.6283155414024735,-0.6234050196377814,-0.6255702681648558,-0.6269978452245794,-0.6261089589198378,-0.6254551936241388,-0.6258221439270317,-0.6256752180365246,-0.6255420819544999,-0.6252452349148668
16,0.12688442,-0.8571797871386937,-0.6826398628088372,-0.6826396151239965,-0.6380472294744366,-0.6354411061759239,-0.6354413151665743,-0.6351176474391709,-0.6368365301242396,-0.6307476371870384,-0.6302594254405265,-0.6335724753431148,-0.6287695804672199,-0.6308757220687545,-0.6321674775561122,-0.6313709068753377,-0.6307183016021882,-0.6310833663582821,-0.6309509146548191,-0.6308130388034795,-0.6304549178078372
17,0.13140704,-0.8571797871386937,-0.6847301575820959,-0.6847299098972552,-0.6413871613799798,-0.639645886127133,-0.6396460927474094,-0.6401135527943675,-0.6414583730895733,-0.6355356594108458,-0.6351447382493685,-0.6387648222384381,-0.634068046211911,-0.6361161136445248,-0.6372765288548976,-0.6365687714338529,-0.6359175259429534,-0.6362803882612585,-0.6361626564627088,-0.6360200830342454,-0.6356064639527796
18,0.13592964,-0.8571797871386937,-0.6868204431116208,-0.6868201954267802,-0.6447050733610638,-0.6438251720468632,-0.6438253763121233,-0.6450623243618869,-0.6460431152092312,-0.640284224130828,-0.6399914963063726,-0.6438927630355163,-0.6393006033011622,-0.6412916230697017,-0.6423252205876938,-0.6417027316190365,-0.6410530452441898,-0.6414133926183426,-0.6413106181436885,-0.6411633907991918,-0.6406997002108126
19,0.14045227,-0.8571797871386937,-0.6889107425067464,-0.6889104948219058,-0.648001218786638,-0.6479790100550816,-0.6479792119806578,-0.6499638160953426,-0.6505907003624277,-0.6449932702512646,-0.6447994183049983,-0.6489565997891378,-0.6444675617224133,-0.646402552771238,-0.647313885798057,-0.6467730875285144,-0.6461251591441862,-0.6464826840254705,-0.6463950956648223,-0.64624325943861,-0.6457345957008618
