,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_27,eq_complex_30,eq_complex_31,eq_complex_33
10,0.099748746,-0.9027245520575412,-0.7657517862263704,-0.7657519266517976,-0.7540982423429268,-0.7299504847795206,-0.7226371058267932,-0.7151220947823121,-0.7162536171957323,-0.7180492447166636,-0.7154151523723178,-0.7132738371552072,-0.7118497956348189,-0.7056540993852605,-0.7056540985070203,-0.7056540976287908,-0.7108112878307353,-0.7089671899189052,-0.7039809312426067,-0.7065351294757399,-0.708770251079417,-0.7046831252898663,-0.7087696347884525,-0.7083617596174403,-0.7072996007327684,-0.7073062828190251,-0.7073128638359018,-0.7084732192391825
11,0.10427135,-0.9027245520575412,-0.7672822059696689,-0.7672823457474232,-0.7567707569523179,-0.7322764641996484,-0.7242238437356392,-0.7185572199844077,-0.7196139794486184,-0.721369705459896,-0.7189073090470006,-0.7167510484528132,-0.7153810358809823,-0.7097522902257899,-0.7097522076337777,-0.7097521250625838,-0.7147894779698438,-0.712705697015172,-0.7081157971260503,-0.7106732797989214,-0.7128877890239677,-0.7090363342574586,-0.7128938325447007,-0.7124886128115133,-0.7114337287870908,-0.7114403792400316,-0.7114469289661501,-0.7125996851382076
12,0.10879397,-0.9027245520575412,-0.7688126311272631,-0.7688127702573423,-0.7594149600671689,-0.7345935129280361,-0.7258473982248346,-0.7219709559590263,-0.7229537926573423,-0.7246700653508564,-0.7223802906833128,-0.7202134470094831,-0.7189076953369411,-0.7138333385959199,-0.7138328729738952,-0.7138324077241941,-0.7187399230738767,-0.7164355848634286,-0.7122412881998615,-0.7147969644955408,-0.7169779746679257,-0.713375968982763,-0.7169989070239255,-0.7165957624845692,-0.7155504129972575,-0.7155570206542153,-0.7155635281026882,-0.7167069579741626
13,0.11331658,-0.9027245520575412,-0.7703430529009225,-0.7703431913833279,-0.7620308518785935,-0.73690161762646,-0.727507263079312,-0.7253632830384205,-0.726273037580802,-0.7279503053761475,-0.7258339128489872,-0.7236607073248599,-0.7224292133649821,-0.7178960366237134,-0.7178946532699706,-0.7178932722058775,-0.7226619940238942,-0.7201561850895555,-0.7163554403869585,-0.7189041332290019,-0.7210391767242339,-0.7176979981061596,-0.7210827900344509,-0.720681202699758,-0.7196476345557163,-0.7196541882195581,-0.7196606423695684,-0.7207930068935233
14,0.11783919,-0.9027245520575412,-0.7718734746745818,-0.7718736125093135,-0.7646184623772097,-0.739200783428047,-0.7292029337790408,-0.7287342087943884,-0.7295717216264155,-0.731210432855456,-0.7292680211927244,-0.7270925329053552,-0.7259450381037434,-0.7219392228699589,-0.7219361572071998,-0.7219331001835402,-0.726555114809448,-0.7238668259203301,-0.7204562866754426,-0.722992757207526,-0.7250699155649984,-0.7219984312719652,-0.7251434519467128,-0.7247429808959659,-0.7237234189091319,-0.7237299073871614,-0.7237362972221868,-0.7248558494250243
15,0.12236181,-0.9027245520575412,-0.7734038998321761,-0.7734040370192327,-0.7671778299601975,-0.7414910153868639,-0.7309338951607771,-0.7320837406094458,-0.7328498520197513,-0.7344504549305843,-0.7326824635802703,-0.730508628659068,-0.7294545988379852,-0.7259617510953145,-0.7259560140600618,-0.7259503016183236,-0.7304187312305844,-0.7275668031880376,-0.7245418315327291,-0.7270608047031991,-0.7290688307000528,-0.7262733225895683,-0.7291788787001424,-0.7287791740334457,-0.7277758114452311,-0.7277822235893149,-0.7277885381365554,-0.7288935274545512
16,0.12688442,-0.9027245520575412,-0.7749343216058354,-0.7749344581452182,-0.769708984725531,-0.7437723033750118,-0.7326996097386698,-0.735411863671241,-0.7361074142642103,-0.7376703572734565,-0.7360770676524984,-0.7339086785281816,-0.7329572833095233,-0.7299624652191996,-0.7299528505076506,-0.7299432940532186,-0.73425228599776,-0.7312553568268951,-0.7286100317709708,-0.7311062230179766,-0.7330346536435965,-0.7305187804638739,-0.7331870554304439,-0.7327878711493786,-0.7318028595229613,-0.731809184270978,-0.7318154126420909,-0.7329040895827529
17,0.13140704,-0.9027245520575412,-0.7764647467634297,-0.7764648826551374,-0.7722119879167114,-0.7460446574808599,-0.7344995448495211,-0.7387185926974837,-0.7393444227654665,-0.7408701541232063,-0.7394516935764017,-0.7372923984127551,-0.7364524925618461,-0.7339402628704048,-0.7339253559000832,-0.7339105701530375,-0.7380552787558153,-0.7349317291501033,-0.7326588678898832,-0.735127010220173,-0.7369662675366015,-0.7347310704985107,-0.7371660390461916,-0.7367672446520194,-0.7358026836623233,-0.7358089100787634,-0.7358150415097626,-0.7368856622663968
18,0.13592964,-0.9027245520575412,-0.7779951651531541,-0.7779953003971896,-0.7746868816923196,-0.7483080626607965,-0.7363331374991503,-0.742003905824553,-0.74256085611959,-0.7440498243212538,-0.7428061666177218,-0.7406594687436231,-0.7399395718805796,-0.7378940172896489,-0.7378722059326661,-0.7378506236233509,-0.7418271903123481,-0.7385950927356637,-0.7366862717668652,-0.7391211437561267,-0.7408626253007756,-0.738906566308895,-0.7411138889147246,-0.7407154794944084,-0.7397734060207215,-0.7397795233391621,-0.739785547232168,-0.7408363787973812
19,0.14045227,-0.9027245520575412,-0.7795255936946833,-0.779525728291042,-0.777133760590264,-0.7505625439084482,-0.7381998468196334,-0.7452678393025343,-0.7457567498179475,-0.747209402954014,-0.7461403738188603,-0.7440096316047777,-0.7434179117440048,-0.7418226925885187,-0.7417921793144296,-0.7417620676687058,-0.7455675917198317,-0.7422446572223881,-0.740690251399928,-0.7430867044749075,-0.7447228580217503,-0.7430419024441743,-0.7450287908239951,-0.7446308954593891,-0.7437132730400421,-0.7437192707023818,-0.7437251766641838,-0.7447545015366207
