,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_6,eq_complex_8,eq_complex_9,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25,eq_complex_27,eq_complex_28,eq_complex_29,eq_complex_30,eq_complex_32,eq_complex_33,eq_complex_34,eq_complex_35,eq_complex_36,eq_complex_37,eq_complex_43,eq_complex_44,eq_complex_47,eq_complex_48,eq_complex_49,eq_complex_50,eq_complex_51,eq_complex_53,eq_complex_61,eq_complex_62,eq_complex_63,eq_complex_65,eq_complex_66,eq_complex_68,eq_complex_87,eq_complex_88
10,0.07246805357715431,-0.15533980433711161,-0.1553274444105785,-0.1552917331605958,-0.15532866282451235,-0.1553579516249391,-0.1553373175789855,-0.15533699544338403,-0.15537845145948237,-0.15537846222887455,-0.15537832437954605,-0.15537816346820488,-0.15537605300411805,-0.15536317304852537,-0.15536352310315646,-0.155355082574713,-0.15535530238845677,-0.1553551550791014,-0.15535512468124976,-0.15535516387600537,-0.1553551334607338,-0.1553551380361393,-0.1553551372064678,-0.15535537542941905,-0.15535529481502097,-0.1553554393995102,-0.15535543933798232,-0.15535720659991503,-0.15535609226546487,-0.15535597137632637,-0.15535753686713705,-0.15535267402317407,-0.1553551742288968,-0.15535313603436718,-0.1553546756834241,-0.15535108197867772,-0.15535488070150205,-0.1553563040410331,-0.15535649736343565,-0.1553497763903798,-0.155354616708216,-0.15535470857392747,-0.15535587825022817,-0.1553558730203901,-0.15535586446059596,-0.15534223370288183,-0.15534115077751756
11,0.07426259743486974,-0.15533980433711161,-0.15532735933378633,-0.1552924858919296,-0.15532946279085874,-0.15535808876856833,-0.15533727251286544,-0.15533694453963345,-0.15537824582912138,-0.1553782551107168,-0.15537816799790896,-0.15537800031563628,-0.1553759161411777,-0.1553632895841452,-0.1553636393076537,-0.15535514846016354,-0.15535537561841353,-0.1553552243595105,-0.15535519385044244,-0.15535523343221017,-0.15535520290519136,-0.15535531848219922,-0.15535531767892838,-0.1553554487153461,-0.15535548531630528,-0.155355624216009,-0.15535562413654008,-0.1553574395253547,-0.15535631113077483,-0.15535618763584438,-0.1553577548631158,-0.15535271153881688,-0.15535526353486806,-0.15535313017574637,-0.15535469710562563,-0.15535107503310233,-0.1553548711666963,-0.1553562500883203,-0.15535644107253083,-0.1553515186290961,-0.15535537832360233,-0.15535546900279815,-0.1553567128339339,-0.15535670735906762,-0.1553566989420217,-0.155344074355108,-0.1553430739048538
12,0.07605714129258517,-0.15533980433711161,-0.1553272736858878,-0.15529325139368072,-0.15533025800280434,-0.1553582260383147,-0.1553372289421686,-0.15533689532501543,-0.1553780451529275,-0.1553780530656016,-0.1553780131456647,-0.15537783868029745,-0.15537578034303146,-0.1553634057189373,-0.15536375503816668,-0.15535521469111221,-0.1553554494660432,-0.15535529422936828,-0.1553552636062736,-0.1553553035795984,-0.15535527293801846,-0.15535549856229333,-0.155355497785416,-0.15535552233161187,-0.1553556744240948,-0.1553558074357208,-0.15535580733574172,-0.15535767059877173,-0.15535652829335694,-0.15535640216767166,-0.1553579710227938,-0.15535275383901648,-0.15535535674925455,-0.15535312801824794,-0.1553547222426388,-0.155351071475777,-0.1553548654401484,-0.15535620009114237,-0.1553563887566126,-0.1553529518861661,-0.155355838175469,-0.15535592812889013,-0.15535724591385802,-0.15535724021500064,-0.155357231894605,-0.15534568000209445,-0.155344757372907
13,0.07785168515030061,-0.15533980433711161,-0.15532718746335636,-0.15529402945925416,-0.15533104830775518,-0.15535836342273,-0.1553371869026203,-0.15533684783988294,-0.1553778493688256,-0.15537785602912574,-0.15537785981451513,-0.155377678552978,-0.15537564560860756,-0.15536352144032306,-0.15536387028063742,-0.15535528126947457,-0.15535552393707938,-0.15535536469401898,-0.15535533395405723,-0.15535537432353805,-0.15535534356455277,-0.15535567826061444,-0.15535567751011628,-0.15535559627280487,-0.15535586211259939,-0.1553559890350676,-0.15535598891208124,-0.1553578997575368,-0.15535674369494717,-0.15535661491365066,-0.15535818529078554,-0.1553528008930227,-0.15535545381585283,-0.1553531295410524,-0.15535475106166674,-0.15535107129024697,-0.15535486348584626,-0.15535615400420774,-0.15535634037033225,-0.15535406844485522,-0.155356044740142,-0.1553561343725736,-0.15535751905170447,-0.15535751314814447,-0.15535750488148625,-0.15534707722928565,-0.15534622752543806
14,0.07964622900801603,-0.15533980433711161,-0.15532710066265046,-0.15529481987866423,-0.15533183355873145,-0.1553585009102073,-0.1553371464305057,-0.15533680212522138,-0.1553776584160763,-0.15537766393832755,-0.15537770799598796,-0.1553775199242843,-0.15537551193653784,-0.15536363673565906,-0.15536398502092266,-0.15535534819706553,-0.15535559903722285,-0.15535543575877386,-0.1553554048990739,-0.15535544566936407,-0.15535541479009843,-0.1553558575615807,-0.15535585683744021,-0.1553556705332393,-0.15535604835696346,-0.15535616899150018,-0.15535616884314427,-0.15535812694040627,-0.15535695727863788,-0.15535682581697832,-0.15535839761301057,-0.15535285267066218,-0.15535555467878584,-0.15535313472425874,-0.15535478353008317,-0.15535107446113067,-0.15535486526842834,-0.1553561117832752,-0.15535629586938815,-0.15535488305724654,-0.15535606582376144,-0.15535615543800807,-0.15535759324926487,-0.155357587156085,-0.155357578908246,-0.15534829073183595,-0.15534750900427688
15,0.08144077286573147,-0.15533980433711161,-0.1553270132802134,-0.155295622438591,-0.15533261361428952,-0.15535863848898016,-0.1553371075626877,-0.15533675822266865,-0.15537747223525844,-0.15537747673166669,-0.15537755768144512,-0.15537736278464775,-0.15537537932516599,-0.15536375159223872,-0.15536409924479505,-0.15535541547559698,-0.1553556747721405,-0.15535550742891036,-0.15535547644656977,-0.15535551762237754,-0.15535548661992502,-0.1553560364498412,-0.15535603575202964,-0.1553557451069638,-0.15535623313327826,-0.15535634728350783,-0.15535634710762022,-0.1553583520875646,-0.155357168988921,-0.15535703482224908,-0.15535860793673018,-0.15535290914228717,-0.15535565928246686,-0.15535314354886476,-0.15535481961539324,-0.15535108097410977,-0.15535487075315355,-0.15535607338513518,-0.15535625521050694,-0.15535542872474242,-0.1553559777619274,-0.1553560675369119,-0.15535753958126985,-0.15535753330757043,-0.15535752505449674,-0.15534934309674012,-0.15534862447840073
16,0.08323531672344689,-0.15533980433711161,-0.15532692531247363,-0.1552964369224382,-0.1553333883384425,-0.1553587761471217,-0.1553370703366244,-0.15533671617453496,-0.1553772907682515,-0.15537729434900424,-0.15537740886209075,-0.15537720712433273,-0.15537524777255565,-0.15536386599729377,-0.1553642129379442,-0.15535548310667555,-0.15535575114746403,-0.1553555797096709,-0.15535554860175554,-0.15535559018784437,-0.15535555905926662,-0.15535621491028118,-0.15535621423876278,-0.15535581998777165,-0.15535641641859343,-0.15535652389062687,-0.15535652368531355,-0.15535857514066562,-0.15535737877172967,-0.15535724187549604,-0.15535881621058253,-0.1553529702787224,-0.1553557675715639,-0.1553531559967471,-0.15535485928519463,-0.15535109081591847,-0.15535487990587069,-0.15535603876759083,-0.15535621835142502,-0.1553557511440864,-0.15535585300332191,-0.15535594299864533,-0.1553574282242818,-0.15535742177242765,-0.15535741350151205,-0.1553502547360992,-0.15534959453429864
17,0.08502986058116233,-0.15533980433711161,-0.15532683675584474,-0.1552972631103914,-0.15533415760057928,-0.15535891387254402,-0.15533703479038605,-0.155336676023822,-0.15537711395821768,-0.1553771167315827,-0.15537726152897913,-0.1553770529334443,-0.15537511727649828,-0.15536397993799575,-0.15536432608597817,-0.1553555510918004,-0.1553558281687888,-0.15535565260626197,-0.15535562136980535,-0.15535566337099432,-0.15535563211332062,-0.15535639292802753,-0.15535639228275938,-0.15535589516921286,-0.15535659819092762,-0.15535669879344854,-0.155356698557154,-0.15535879604287173,-0.15535758657447862,-0.15535744692423062,-0.1553590223846163,-0.15535303605121056,-0.1553558794909647,-0.15535317205064011,-0.1553549025071382,-0.1553511039743326,-0.1553548926929876,-0.15535600788943904,-0.15535618525086958,-0.15535590252905307,-0.15535574842187663,-0.15535583860438354,-0.15535731770746095,-0.15535731107353545,-0.15535730278214804,-0.1553510439239016,-0.15535043767935788
18,0.08682440443887776,-0.15533980433711161,-0.15532674760672563,-0.15529810077947753,-0.1553349212753822,-0.15535905165299732,-0.15533700096267208,-0.15533663781424212,-0.1553769417495847,-0.15537694382200598,-0.1553771156730221,-0.1553769002019357,-0.15537498783452092,-0.1553640934014576,-0.15536443867442465,-0.15535561943236081,-0.15535590584167225,-0.15535572612385273,-0.15535569475585556,-0.1553557371770199,-0.1553557057872464,-0.15535657048845372,-0.15535656986938584,-0.15535597064460765,-0.1553567784292785,-0.15535687197362585,-0.15535687170520626,-0.1553590147388918,-0.15535779234610245,-0.15535764991748077,-0.15535922641032304,-0.15535310643135605,-0.15535599498574193,-0.15535319169411432,-0.15535494924888893,-0.15535112043815794,-0.15535490908144003,-0.15535598071045145,-0.1553561558685399,-0.15535593549851767,-0.15535569716674744,-0.1553557874501846,-0.15535724677632873,-0.1553572399517065,-0.15535723164431392,-0.15535172689928498,-0.155351170420013
19,0.0886189482965932,-0.15533980433711161,-0.15532665786150054,-0.1552989497036249,-0.15533567924274344,-0.15535918947606916,-0.15533696889282728,-0.1553366015902366,-0.15537677408802772,-0.15537677556422,-0.1553769712849963,-0.15537674891961545,-0.15537485944389376,-0.1553642063747355,-0.1553645506887324,-0.15535568812963374,-0.15535598417163277,-0.15535580026757398,-0.1553557687650035,-0.15535581161107487,-0.1553557800861642,-0.15535674757718493,-0.15535674698426036,-0.1553560464070624,-0.15535695711363195,-0.15535704341388,-0.15535704311267837,-0.1553592311750171,-0.1553579960370927,-0.1553578508058273,-0.15535942824066803,-0.15535318139106713,-0.15535611400111918,-0.1553532149115536,-0.15535499947808687,-0.15535114019721824,-0.15535492903865977,-0.15535595719135534,-0.1553561301650882,-0.15535589775172307,-0.15535570616454758,-0.155355796452014,-0.15535723089550973,-0.1553572238691632,-0.15535721555384527,-0.15535231800873914,-0.15535180738568394
20,0.09041349215430862,-0.15533980433711161,-0.15532656751653923,-0.15529980965372428,-0.15533643138768022,-0.15535932732918376,-0.15533693862085762,-0.15533656739699364,-0.1553766109204522,-0.15537661190349272,-0.15537682835555036,-0.15537659907615417,-0.1553747321016375,-0.1553643188448303,-0.1553646621142726,-0.15535575718478145,-0.15535606316414788,-0.15535587504251672,-0.15535584340230624,-0.15535588667827316,-0.1553558550151539,-0.1553569241801028,-0.15535692361325756,-0.15535612244948735,-0.15535713422497038,-0.15535721309800554,-0.15535721276392944,-0.15535944529915588,-0.15535819759953307,-0.1553580495414388,-0.1553596278301195,-0.1553532609024964,-0.1553562364824372,-0.1553532416881318,-0.1553550531623082,-0.15535116324234266,-0.15535495253254297,-0.15535593729381447,-0.15535610810210085,-0.15535582820707708,-0.1553557596860158,-0.15535584990604054,-0.15535726409295889,-0.15535725685392326,-0.1553572485390579,-0.15535282986760396,-0.15535236147744447
21,0.09220803601202404,-0.15533980433711161,-0.15532647656819706,-0.15530068039769085,-0.155337177600249,-0.15535946519960114,-0.15533691018744586,-0.1553365352804658,-0.1553764521949761,-0.1553764527863949,-0.15537668687521133,-0.15537645066109135,-0.15537460580453052,-0.1553644307986895,-0.15536477293634043,-0.15535582659884883,-0.155356142824653,-0.15535595045373088,-0.15535591867277912,-0.15535596238368743,-0.15535593057925337,-0.15535710028335015,-0.15535709974251333,-0.15535619876461632,-0.15535730974528053,-0.15535738101087515,-0.1553573806444766,-0.15535965706086594,-0.15535839698713308,-0.15535824607810458,-0.1553598251346767,-0.1553533449379799,-0.15535636237512093,-0.1553532720097886,-0.15535511026902654,-0.15535118956535243,-0.1553549795314179,-0.1553559209804099,-0.15535608964207911,-0.15535575504518837,-0.1553558274847727,-0.15535591761459433,-0.15535732517837617,-0.15535731771779004,-0.15535730940950895,-0.15535327352742623,-0.1553528440267192
22,0.09400257986973948,-0.15533980433711161,-0.1553263850128152,-0.15530156170052656,-0.15533791777545874,-0.15535960307441654,-0.15533688363396625,-0.1553365052873867,-0.1553762978609125,-0.15537629816078066,-0.1553765468343915,-0.15537630366384164,-0.155374480549116,-0.155364542223209,-0.15536488314015642,-0.155355896372761,-0.15535622315853945,-0.15535602650622385,-0.15535599458139446,-0.1553560387323475,-0.15535600678345723,-0.15535727587333553,-0.15535727535842933,-0.15535627534502905,-0.15535748365756025,-0.15535754713844332,-0.15535754674100083,-0.15535986641138563,-0.15535859415525985,-0.15535844037126617,-0.1553600201118962,-0.15535343346997438,-0.15535649162464674,-0.1553533058632042,-0.1553551707655746,-0.15535121915904734,-0.15535501000401242,-0.15535590821462078,-0.15535607474842023,-0.15535569569160132,-0.15535587480139926,-0.1553559648745901,-0.1553573861544452,-0.15535737846675862,-0.15535737016752552,-0.1553536586404139,-0.15535326495418234
23,0.09579712372745491,-0.15533980433711161,-0.15532629284672064,-0.15530245332438383,-0.15533865181318304,-0.15535974094055946,-0.15533685900249902,-0.15533647746528748,-0.1553761478687522,-0.15537614797576826,-0.1553764082233945,-0.155376158073701,-0.15537435633170876,-0.15536465310523492,-0.15536499271086812,-0.15535596650732061,-0.15535630417115306,-0.15535610320495902,-0.15535607113307986,-0.15535611572923905,-0.15535608363271522,-0.15535745093673764,-0.15535745044767746,-0.15535635218317564,-0.1553576559458248,-0.15535771146774954,-0.15535771104135215,-0.15536007330366328,-0.15535878906096842,-0.15535863237804695,-0.15536021272091685,-0.1553535264709934,-0.15535662417651044,-0.1553533432357732,-0.15535523461910586,-0.1553512520171912,-0.1553550439194214,-0.15535589896080504,-0.15535606338539815,-0.15535565835161508,-0.1553558714398404,-0.1553559615391718,-0.15535742036033956,-0.1553574124435497,-0.1553574041519282,-0.15535399361561664,-0.1553536329226298
