,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_23,eq_complex_24,eq_complex_25
10,0.099748746,-1.0694147207689824,-1.0578170777013511,-1.0578101977943535,-0.9821855194277261,-0.9667987395301016,-0.9441129239475883,-0.9295565345450597,-0.9295565333521921,-0.9076588516539305,-0.9121130324168334,-0.8962571769985068,-0.9052656164849718,-0.9056846856262566,-0.9062761360593112,-0.9062449780698608,-0.9062136970583252,-0.906182316596451,-0.9088051431340984,-0.909151796875245,-0.9088314534346332,-0.9038327969591811
11,0.10427135,-1.061299817445302,-1.049831756724501,-1.0498248651320425,-0.9759492836273749,-0.9587948260274028,-0.9398781839988535,-0.9256230379376913,-0.9256229258204148,-0.9059301851235747,-0.9103307303077824,-0.8955261627825083,-0.9039984801179333,-0.9043902540483165,-0.9049594821807633,-0.9049184478100962,-0.9048774902646182,-0.9048366264696042,-0.9072597484194591,-0.9076025458656292,-0.9072931021570801,-0.9022633617235792
12,0.10879397,-1.0531848854128396,-1.041846407497303,-1.0418395042193422,-0.9696938741274734,-0.950932663917577,-0.9356419065091113,-0.9216879375290029,-0.921687305484306,-0.9040635744087697,-0.9084078966289253,-0.8946574384259676,-0.902636504044659,-0.9030010496431741,-0.9035480939812665,-0.9034972198847366,-0.9034466218512723,-0.9033963101765236,-0.905620287103763,-0.9059592166722763,-0.9056606547259982,-0.9005302543803346
13,0.11331658,-1.045069971323366,-1.0338610759265725,-1.0338541609631355,-0.9634192848173554,-0.9432119120541187,-0.9314029286096559,-0.9177500162210698,-0.9177481375525232,-0.902062910685546,-0.9063485418663968,-0.8936533387828942,-0.9011800863770901,-0.9015174803680901,-0.9020423914312911,-0.9019817148762868,-0.9019215129999928,-0.9018617894857192,-0.9038872455462666,-0.9042223014522858,-0.9039345970525754,-0.8986375612464235
14,0.11783919,-1.0369550572338926,-1.025875744355842,-1.0258688177069286,-0.9571254597716572,-0.9356319503368646,-0.9271600545473144,-0.9138080264658442,-0.9138038590627497,-0.8999319838897423,-0.9041565745364939,-0.8925161513059013,-0.8996296052984266,-0.8999399337581201,-0.9004427735390448,-0.9003723323274232,-0.9003025637766752,-0.9002334649754405,-0.902061085529684,-0.9023922675641994,-0.9021153905283943,-0.896589607695862
15,0.12236181,-1.0288401252014303,-1.017890395128644,-1.0178834567942285,-0.9508123428136654,-0.9281919453387446,-0.922912089727041,-0.9098607219246165,-0.9098529115249726,-0.8976744940953878,-0.9018358127770608,-0.8912481203999045,-0.8979854293029955,-0.8982687873917888,-0.8987496290031085,-0.8986694614727466,-0.898590163940672,-0.8985117269189106,-0.9001422567839411,-0.9004695701260277,-0.900203484492655,-0.8943910222072348
16,0.12688442,-1.0207252111119567,-1.0099050635579134,-1.0098981135380218,-0.9444799195835136,-0.9208909001007708,-0.9186578692915814,-0.9059068840710589,-0.9058937685399991,-0.8952940661477456,-0.8993899992341791,-0.8898514562922255,-0.8962479295504147,-0.8965044214319162,-0.8969633489090095,-0.8968734939997984,-0.8967847057689441,-0.8966969681703437,-0.8981312112214511,-0.8984546662801259,-0.8981993304215259,-0.8920468102341561
17,0.13140704,-1.0126102790794942,-1.0019197143307155,-1.0019127526253215,-0.9381281197183322,-0.9137275420619282,-0.9143961926993264,-0.9019452614370753,-0.9019248759477909,-0.8927942126609493,-0.8968227628953882,-0.8883283139232985,-0.894417454400549,-0.8946471927528338,-0.8950843005275824,-0.894984797697356,-0.8948865575573355,-0.8947895575221466,-0.8960283733001045,-0.8963479855007037,-0.8961033523978275,-0.8895623820680286
18,0.13592964,-1.0044953829330097,-0.9939344004164522,-0.9939274270256079,-0.9317569429750532,-0.9067004703919451,-0.910125908803208,-0.897974648732647,-0.8979447320207585,-0.8901783808531937,-0.8941376670772386,-0.8866808207231388,-0.8924943649828533,-0.8926974710532137,-0.8931128638750433,-0.8930037532082862,-0.8928961005622896,-0.89278987683171,-0.8938341811054155,-0.8941499707573204,-0.8939159880559683,-0.8869436665895817
19,0.14045227,-0.9963804329575584,-0.985949033532787,-0.9859420484564146,-0.9253662763291881,-0.8998079555635954,-0.9058457935528211,-0.8939937731817319,-0.8939517744833588,-0.8874498778932197,-0.8913381326618289,-0.88491103019522,-0.8904789815176533,-0.8906555844205024,-0.8910493766645707,-0.8909306987046609,-0.8908136734051185,-0.890698265160264,-0.8915490249454889,-0.8918610170048865,-0.8916376273733315,-0.8841971058631466
