p,rho,theta,sigma1,sigma2,sigma3,f
368.42105263157896,194.24832696972905,2.146754979953025,227.1046603889648,501.43680024360833,376.7216972621636,0.0
157.8947368421052,171.38452411457544,4.39822971502571,186.9888339238683,24.808759297974007,261.88661730447325,0.0
368.42105263157896,220.1057572263541,5.340707511102648,532.5994210509967,223.02807951909745,349.6356573246425,-6.807394553392401
263.1578947368421,170.95967687082307,4.45058959258554,299.2859254412829,128.32624857046002,361.86151019878326,4.979408064198698
-789.4736842105264,275.3732380533044,4.031710572106901,-824.6466138446948,-964.2081981859112,-579.5662406009733,35.91824844173533
-263.1578947368422,268.8539427802037,3.560471674068432,-392.187528808575,-352.4440413608844,-44.84211404106702,-26.58995038485533
684.2105263157894,194.2483269697289,3.089232776029963,542.8941340731752,692.5111709463741,817.2262739278187,0.0
263.1578947368421,249.1289457761778,6.021385919380436,459.63969957833297,210.510753802155,119.32323083003824,-15.901847602734769
789.4736842105262,181.0226599683291,4.921828490624009,888.3741205860405,644.899181665123,835.1477503804149,19.395284996606676
578.9473684210525,161.00086074242552,2.8797932657906435,451.9699929051392,612.9708536475647,671.9012587104531,-4.979408064198732
894.7368421052631,210.24786958888944,2.094395102393196,746.0691477889344,1043.4045364215915,894.736842105263,6.123724356957907
263.1578947368421,300.62409077365703,3.7175513067479216,151.72204847034033,129.47159114350842,508.2800445966775,0.0
-263.1578947368422,239.45498961156875,5.393067388662478,-80.6296829024484,-415.1009503676115,-293.74305094046656,0.0
-789.4736842105264,175.93908493502167,2.8797932657906435,-928.2324657021428,-752.2933807671211,-687.8952061623152,9.958816128397428
-578.9473684210527,220.10575722635429,4.084070449666731,-597.7327637279892,-724.3403415335342,-414.7690000016347,-6.807394553392407
578.9473684210525,146.06263654982936,0.7853981633974483,609.8140354306719,663.2766709516428,463.7513988808424,-19.917632256794917
-789.4736842105264,321.8069817458669,1.413716694115407,-883.6364040483261,-529.9543253489858,-954.8303232342672,34.47931947277143
-157.89473684210532,145.6768454973891,0.2094395102393195,-69.5016384490925,-133.16475432260663,-271.01781775461683,-25.707678617186318
894.7368421052631,194.2483269697289,5.183627878423159,1027.7525897172925,753.4204498626489,903.0374867358478,0.0
894.7368421052631,295.443893165059,3.560471674068432,752.946035433029,796.6201974634583,1134.6442934193017,0.0
52.631578947368325,330.42681161406,3.8222710618675815,-44.0533566003726,-117.15425576450846,319.10234920698605,43.09914934096432
-368.42105263157896,151.92973247341914,0.3141592653589793,-285.4153292449864,-330.08746138185097,-489.76036726789937,-9.69764249830336
-684.2105263157895,166.24298839113814,2.9321531433504733,-813.3039245335967,-655.9892521464792,-583.3384022672925,-5.141535723437267
-263.1578947368422,144.04177092489587,4.869468613064179,-189.14376679608228,-379.31953870400247,-221.01037871044167,-14.245889432132572
-52.63157894736844,154.52259232318443,2.670353755551324,-178.6258395360575,4.647116843489918,16.08398585046229,0.0
-368.42105263157896,163.23542833612083,0.942477796076938,-354.4893768406652,-260.5943217811406,-490.1794592729309,-22.259376591289204
263.1578947368421,173.06530340196653,0.5759586531581287,327.3100340226034,340.1193273104125,122.04432287751035,18.542711078782112
578.9473684210525,215.0579497094517,3.193952531149623,431.6817810836087,569.7574843002049,735.4028398793437,0.0
684.2105263157894,161.62737497172242,4.921828490624009,772.5144873653558,555.1261490431081,724.9909425389043,0.0
578.9473684210525,318.4811939668134,3.4557519189487724,404.9474445097396,498.5909581813049,833.3037025721126,41.54102530001912
1000.0,204.12414523193132,5.235987755982988,1144.3375672974062,855.6624327025935,1000.0,0.0
368.42105263157896,137.2165288000315,0.418879020478639,434.2746470277594,413.99053538860784,256.9979754783694,-18.711344836367932
-684.2105263157895,338.6948780144641,1.5707963267948966,-822.482131254061,-407.6673164392464,-822.4821312540611,36.288736930121125
-52.63157894736844,330.89716034486605,3.560471674068432,-211.4372824202704,-162.52222094618966,216.06476652435475,35.45326717980705
578.9473684210525,154.52259232318443,4.764748857944519,647.662933218883,452.9531078323633,636.2260642119109,0.0
52.631578947368325,147.08091122426745,0.3141592653589793,132.98818350247385,89.74175771040282,-64.83520437077169,-14.546463747455038
-684.2105263157895,226.9131517797469,6.178465552059926,-514.9544763988634,-703.5769132301571,-834.1001893183479,0.0
789.4736842105262,194.2483269697289,3.089232776029963,648.157291967912,797.7743288411109,922.4894318225556,0.0
-789.4736842105264,295.443893165059,5.654866776461628,-549.5662328964877,-931.26449088276,-887.5903288523311,0.0
473.6842105263156,293.55657878680194,1.780235837034216,313.3016719645839,708.1343967872928,399.61656282707,16.61641012000761
-684.2105263157895,200.0757767788208,0.9948376736367678,-675.6608623462871,-547.2043062753993,-829.766410325682,5.827449809091831
1000.0,295.443893165059,5.654866776461628,1239.9074513140386,858.2091933277661,901.8833553581952,0.0
-789.4736842105264,155.92787363639945,2.5132741228718345,-916.0908173391734,-714.6400542148667,-737.6901810775389,0.0
-263.1578947368422,185.8714812174809,0.3141592653589793,-161.60833952984063,-216.2604160802601,-411.60492860042575,24.24410624575836
157.8947368421052,177.8786932573343,4.34586983746588,180.61486318984748,22.303994480179256,270.7653528562888,0.0
684.2105263157894,233.22709817344293,1.832595714594046,549.5567984030369,868.1509393588872,634.9238411854442,-31.80369520546949
578.9473684210525,204.56049724593436,0.890117918517108,605.0755137209562,708.7485768373633,423.0180147048376,26.68180398860012
52.631578947368325,161.6273749717225,2.4085543677521746,-76.45279832531304,140.93553999693484,93.41199517048317,0.0
52.631578947368325,155.92787363639945,2.5132741228718345,-73.98555418127879,127.46520894302796,104.41508208035576,0.0
-894.7368421052631,232.27133992322183,1.9373154697137056,-1042.1216060671093,-717.6844766259009,-924.4044436227788,-7.183649688347074
-368.42105263157896,240.86490367458583,3.193952531149623,-533.3585104495158,-378.71372284692814,-193.19092459829272,25.806953965134177
1000.0,216.37159394584737,1.0471975511965976,1000.0,1152.9978213352506,847.0021786647491,12.247448713915857
-894.7368421052631,204.12414523193144,3.141592653589793,-1039.0744094026695,-894.736842105263,-750.3992748078566,0.0
-368.42105263157896,144.0417709248959,4.5553093477052,-326.27353660517844,-484.5826965987393,-294.406924690819,-14.245889432132577
-263.1578947368422,226.9131517797465,3.2463124087094526,-413.0475577394004,-282.5242816512095,-93.90184481991652,0.0
894.7368421052631,134.5445113034742,2.4609142453120043,786.2342076304428,963.8709176543244,934.1054010310216,-23.743149053554276
-263.1578947368422,171.3845241145754,0.2094395102393195,-159.16601427447412,-234.063797655079,-396.2438722809733,0.0
-894.7368421052631,221.5096882007352,5.288347633542818,-733.5877065032231,-1046.42039706283,-904.202422749736,6.451738491283509
-789.4736842105264,268.1895883649571,1.2042771838760873,-823.7290591585859,-585.0420869560053,-959.649906516988,28.73459875338824
-263.1578947368422,220.10575722635448,6.178465552059926,-98.9795263174239,-281.94329004377875,-408.55086784932377,-6.807394553392413
-684.2105263157895,161.86961086417412,0.1570796326794896,-581.4982657428825,-663.535211339344,-807.598101865142,-16.009082393160092
-789.4736842105264,259.99062598525194,3.560471674068432,-914.2495940820922,-875.8163314953144,-578.3551270541724,-35.45326717980708
894.7368421052631,278.7078324049027,1.7278759594743862,751.5261815222017,1119.4991439764187,813.1852008171686,-8.619829868192875
-157.89473684210532,180.91849299922052,4.45058959258554,-119.66216065973586,-300.5806536589563,-53.44139620762383,14.93822419259617
-894.7368421052631,227.9614266920188,3.193952531149623,-1050.8383646829534,-904.4781192733614,-728.8940423594743,12.903476982567064
473.6842105263156,322.0338435499143,1.6755160819145565,319.1322312535807,735.1833324586175,366.7370678667484,26.58995038485527
-368.42105263157896,171.3845241145754,0.2094395102393195,-264.4291721692109,-339.3269555498157,-501.5070301757101,0.0
-368.42105263157896,295.4438931650591,3.769911184307752,-466.5376972733837,-510.2118593038128,-128.51360131754024,0.0
473.6842105263156,272.98171718027976,1.832595714594046,316.0781426284348,688.9781030653958,415.99638588511607,7.950923801367321
684.2105263157894,249.12894577617763,3.4033920413889422,540.3758624089854,631.5633853811025,880.6923311572801,-15.901847602734758
-1000.0,204.12414523193132,5.235987755982988,-855.6624327025936,-1144.3375672974062,-999.9999999999998,0.0
-52.63157894736844,144.0417709248959,4.5553093477052,-10.48406292096798,-168.7932229145288,21.382548993391477,-14.245889432132577
368.42105263157896,265.03079337891245,5.497787143782138,577.4442492714627,215.4054527307237,312.41345589255025,0.0
894.7368421052631,190.87730912761788,2.8797932657906435,744.1966546379433,935.0739637655612,1004.9399079122844,24.89704032099362
-368.42105263157896,151.92973247341914,0.7330382858376183,-330.0874613818509,-285.4153292449864,-489.76036726789937,-9.69764249830336
684.2105263157894,170.95967687082296,2.8797932657906435,549.3788801494073,720.3385570202304,782.9141417777305,4.979408064198696
52.631578947368325,194.24832696972896,0.0523598775598298,185.64732655939773,60.93222357795304,-88.68481329524582,0.0
157.8947368421052,132.53869259093952,0.6283185307179586,201.9107145051445,221.50332233841584,50.27017368275514,-23.38918104545992
263.1578947368421,153.5390305463176,2.4609142453120043,139.33724127734146,342.0520750693005,308.0843678638843,-4.748629810710859
52.631578947368325,135.9798812444023,2.565634000431664,-58.24337037067804,113.1012759694594,103.0368312433236,-18.54271107878213
-473.68421052631584,282.5866453272376,1.5184364492350666,-578.4339060168272,-243.26938965807057,-599.3493359040496,-18.03744544641944
52.631578947368325,156.77855372257082,0.7330382858376183,92.18858268378976,138.2864211654478,-72.58026700713259,-4.84882124915168
-157.89473684210532,210.24786958888924,5.235987755982988,-9.227042525776907,-306.56243115843387,-157.89473684210515,6.123724356957901
789.4736842105262,190.877309127618,4.45058959258554,829.8108058708242,638.9334967432063,899.6767500175479,24.89704032099364
894.7368421052631,206.4909681195693,3.2463124087094526,758.337248772935,877.1134300131887,1048.7598475296654,-20.422183660177204
-1000.0,151.25003742730746,4.607669225265029,-949.770001961002,-1122.8186191347877,-927.41137890421,-4.677836209091987
-157.89473684210532,158.28766035702844,0.6806784082777885,-111.57878516474216,-76.56053031379777,-285.54489504777604,0.0
578.9473684210525,252.3260410919737,1.884955592153876,425.8421820669041,774.8872177864247,536.1127054098283,0.0
1000.0,302.406141084343,5.759586531581287,1246.9135802469136,876.543209876543,876.5432098765432,0.0
684.2105263157894,185.49480492741003,0.942477796076938,700.0419760781913,806.7409022821965,545.8487005869803,0.0
578.9473684210525,188.55141485277437,4.34586983746588,603.0307023496592,435.2211815174109,698.5902213960869,10.672721595440027
52.631578947368325,137.2165288000315,0.418879020478639,118.4851733435488,98.20106170439728,-58.79149820584113,-18.711344836367932
