p,rho,theta,sigma1,sigma2,sigma3,I1,I2,I3,f
1e-12,6.495312993056051e-13,0.2094395102393195,1.3941194899768118e-12,1.110263903799199e-12,4.956166062239893e-13,3e-12,2.7890545456111863e-24,7.671354790307914e-37,-9.926657748560608e-14
52.63157894736937,32.62587812068444,0.2094395102393195,72.42815296730714,58.17012141685386,27.29646245794708,157.8947368421081,7778.025345906643,115004.2123314637,-4.9861481070507585
105.26315789473772,65.25175624136827,0.2094395102393195,144.85630593461292,116.34024283370658,54.59292491589361,315.78947368421314,31112.10138362597,920033.6986516827,-9.972296214101425
157.89473684210608,97.8776343620521,0.2094395102393195,217.28445890191867,174.51036425055932,81.88938737384017,473.68421052631817,70002.22811315798,3105113.7329493994,-14.958444321152092
210.52631578947447,130.50351248273589,0.2094395102393195,289.7126118692245,232.6804856674121,109.1858498317868,631.5789473684233,124448.40553450276,7360269.589213365,-19.94459242820275
263.1578947368429,163.1293906034197,0.2094395102393195,362.14076483653025,290.8506070842649,136.4823122897334,789.4736842105285,194450.6336476602,14375526.541432314,-24.93074053525341
315.7894736842112,195.7552687241035,0.2094395102393195,434.568917803836,349.02072850111756,163.7787747476799,947.3684210526334,280008.91245263023,24840909.863594975,-29.916888642304073
368.4210526315796,228.38114684478728,0.2094395102393195,506.9970707711418,407.1908499179704,191.07523720562656,1105.2631578947387,381123.24194941326,39446444.82969015,-34.90303674935473
421.052631578948,261.00702496547126,0.2094395102393195,579.4252237384477,465.3609713348232,218.37169966357303,1263.157894736844,497793.6221380088,58882156.71370651,-39.889184856405414
473.6842105263164,293.632903086155,0.2094395102393195,651.8533767057534,523.5310927516759,245.66816212151969,1421.0526315789489,630020.0530184171,83838070.78963284,-44.87533296345607
526.3157894736847,326.25878120683876,0.2094395102393195,724.2815296730591,581.7012141685286,272.9646245794662,1578.9473684210539,777802.5345906378,115004212.33145784,-49.86148107050672
578.947368421053,358.8846593275226,0.2094395102393195,796.7096826403649,639.8713355853814,300.2610870374128,1736.8421052631593,941141.0668546716,153070606.61317033,-54.847629177557394
631.5789473684214,391.5105374482065,0.2094395102393195,869.1378356076707,698.0414570022342,327.55754949535924,1894.7368421052643,1120035.649810518,198727278.90875894,-59.833777284608075
684.2105263157898,424.1364155688901,0.2094395102393195,941.5659885749762,756.2115784190869,354.854011953306,2052.6315789473692,1314486.2834581768,252664254.49221253,-64.8199253916587
736.8421052631581,456.762293689574,0.2094395102393195,1013.994141542282,814.3816998359396,382.15047441125245,2210.526315789474,1524492.967797648,315571558.63751966,-69.80607349870938
789.4736842105266,489.38817181025786,0.2094395102393195,1086.422294509588,872.5518212527924,409.4469368691991,2368.421052631579,1750055.702828933,388139216.61866945,-74.79222160576005
842.1052631578949,522.0140499309416,0.2094395102393195,1158.8504474768938,930.721942669645,436.74339932714565,2526.3157894736846,1991174.4885520302,471057253.70965034,-79.7783697128107
894.7368421052632,554.6399280516258,0.2094395102393195,1231.2786004441996,988.8920640864978,464.03986178509183,2684.2105263157896,2247849.324966939,565015695.1844505,-84.76451781986141
947.3684210526316,587.2658061723091,0.2094395102393195,1303.7067534115051,1047.0621855033505,491.33632424303875,2842.105263157894,2520080.212073662,670704566.3170602,-89.750665926912
1000.0,619.891684292993,0.2094395102393195,1376.134906378811,1105.2323069202034,518.6327867009854,2999.9999999999995,2807867.149872198,788813892.3814673,-94.73681403396266
1e-12,6.302318947286631e-13,0.3141592653589793,1.3443226909677334e-12,1.1590146408590358e-12,4.966626681732306e-13,3e-12,2.8014038794333594e-24,7.738449781543796e-37,-9.631708784298044e-14
52.63157894736937,31.887327673726293,0.3141592653589793,70.0529925004146,60.67711266345499,27.1646316782385,157.8947368421081,7801.848474393727,115466.34519985977,-4.873276910160975
105.26315789473772,63.77465534745195,0.3141592653589793,140.10598500082784,121.35422532690879,54.32926335647649,315.7894736842131,31207.393897574304,923730.7615988513,-9.746553820321852
157.89473684210608,95.6619830211776,0.3141592653589793,210.15897750124105,182.0313379903626,81.4938950347145,473.68421052631817,70216.63626954172,3117591.320396093,-14.61983073048273
210.52631578947447,127.54931069490334,0.3141592653589793,280.21197000165444,242.7084506538165,108.65852671295248,631.5789473684234,124829.57559029608,7389846.09279071,-19.493107640643622
