,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_13
37,0.22185928,-0.6349789934840413,-0.6347719630879529,-0.6347734143989727,-0.6349561286598044,-0.6415426040319918,-0.6424550895855041,-0.6434424470164701,-0.6423696870197309,-0.6462195312536105
38,0.2263819,-0.625420237534227,-0.6252165196294255,-0.6252179477194342,-0.6253970009236658,-0.6317749360066782,-0.6326590120893054,-0.6333456458418889,-0.6321990700129951,-0.6358820990807741
39,0.2309045,-0.6158615238552911,-0.6156611184271279,-0.6156625232962283,-0.6158379031696559,-0.6220107076968084,-0.6228668056607238,-0.6232403582587998,-0.6220201988821228,-0.6255204357398034
40,0.23542711,-0.6063027890409163,-0.6061056960967155,-0.6061070777448563,-0.6062787713692666,-0.6122498534325376,-0.6130784053319069,-0.613127105607892,-0.6118337653753034,-0.615136803719448
41,0.23994973,-0.5967440330911022,-0.5965502526381883,-0.5965516110653182,-0.596719604860354,-0.6024923723475812,-0.6032938111282453,-0.6030064847331678,-0.6016405379174625,-0.6047335664042968
42,0.24447234,-0.5871852982767272,-0.5869948303077759,-0.586996165513946,-0.5871604452074981,-0.5927383067030221,-0.5935130663193227,-0.5928791451932316,-0.5914413383490944,-0.5943131568780986
43,0.24899496,-0.5776265423269129,-0.5774393868492487,-0.5774406988344076,-0.5776012493796943,-0.5829876124757891,-0.5837361276524828,-0.5827456542637646,-0.5812369056722799,-0.5838779309544468
44,0.25351757,-0.568067807512538,-0.567883964518836,-0.5678852532830356,-0.5680420588368722,-0.5732403318973665,-0.5739630383634546,-0.5726066754138783,-0.5710280754952686,-0.5734303428603593
45,0.2580402,-0.5585090304272848,-0.558328499932194,-0.5583297654753312,-0.558482809297077,-0.5634963994340136,-0.5641937336367309,-0.5624627659624757,-0.560815575983765,-0.5629727290877329
46,0.26256278,-0.5489503590192271,-0.5487731409861261,-0.5487743833084575,-0.5489236477780772,-0.5537559649780808,-0.5544283646407868,-0.5523147128034527,-0.5506003655621523,-0.5525076468736694
47,0.26708543,-0.5393915396630957,-0.5392176341432544,-0.5392188532444209,-0.5393643196322273,-0.5440187692163978,-0.544666672291328,-0.542162881079814,-0.5403829769619515,-0.5420371952829564
48,0.27160805,-0.5298327837132817,-0.5296621906847272,-0.5296633865648825,-0.5298050351372796,-0.5342850266050243,-0.5349088724792378,-0.5320081335412306,-0.5301644423388917,-0.5315639562507011
49,0.27613065,-0.5202740700343457,-0.5201067894824296,-0.5201079621416765,-0.5202457719831735,-0.5245547146782616,-0.5251549435654923,-0.5218510893208999,-0.5199455468645511,-0.5210902233906889
50,0.28065327,-0.5107153140845315,-0.5105513460239023,-0.5105524954621383,-0.510686444354658,-0.5148277464897106,-0.5154047992817601,-0.5116923026440926,-0.5097270084028397,-0.5106181799129734
51,0.2851759,-0.5011565369992784,-0.5009958814372603,-0.5009970076544339,-0.5011270720149431,-0.505104142693698,-0.5056584612247468,-0.5015324418463508,-0.4995096573093267,-0.5001500771767403
52,0.28969848,-0.4915978655912207,-0.4914405224911923,-0.49144162548756026,-0.4915677802959812,-0.49538403135810705,-0.4959160586446046,-0.49137228873993016,-0.48929443537993283,-0.4896882280670587
